,index
0,99101
1,186482
2,150083
3,135028
4,332036
5,225802
6,117335
7,230538
8,127846
9,34934
10,227569
11,291669
12,107839
13,108992
14,156863
15,321317
16,73162
17,195327
18,267517
19,203537
20,277861
21,100701
22,159809
23,205141
24,273918
25,320919
26,91143
27,37185
28,50126
29,312242
30,339209
31,231750
32,148678
33,64779
34,49890
35,225997
36,16769
37,10604
38,254306
39,293421
40,105537
41,236484
42,195670
43,59825
44,325019
45,13317
46,40405
47,159544
48,327023
49,335599
50,122589
51,343548
52,31338
53,164803
54,54691
55,143231
56,10093
57,197571
58,133523
59,301984
60,184203
61,155147
62,81496
63,303576
64,313655
65,160995
66,279975
67,283409
68,105588
69,52541
70,325603
71,223202
72,244618
73,261198
74,300802
75,110417
76,76414
77,126430
78,105226
79,311711
80,98908
81,343760
82,83654
83,277872
84,131967
85,235075
86,240715
87,281694
88,140967
89,233114
90,143558
91,256954
92,296493
93,164832
94,51338
95,61432
96,100758
97,188256
98,197386
99,9915
100,32042
101,184102
102,95955
103,214690
104,2801
105,295762
106,124197
107,345267
108,150537
109,324845
110,258779
111,298630
112,287163
113,159354
114,200973
115,343866
116,131255
117,304219
118,298261
119,141434
120,28192
121,313736
122,58122
123,38525
124,341879
125,96147
126,290783
127,213856
128,257718
129,154959
130,196014
131,332577
132,325921
133,46812
134,15883
135,12445
136,341813
137,45517
138,292417
139,130860
140,226411
141,58727
142,308724
143,111619
144,150966
145,6019
146,300683
147,304070
148,228413
149,220396
150,272409
151,213109
152,195838
153,22862
154,270203
155,190960
156,3679
157,165887
158,40791
159,252210
160,138698
161,7377
162,22869
163,70434
164,201804
165,71821
166,35283
167,65476
168,119934
169,75683
170,53912
171,287652
172,61486
173,150713
174,287509
175,299983
176,195255
177,282789
178,230573
179,233527
180,148561
181,56293
182,145270
183,81419
184,165428
185,62937
186,271849
187,106744
188,18234
189,240763
190,36623
191,288415
192,251779
193,144104
194,3459
195,109922
196,208136
197,247028
198,330074
199,191675
200,34415
201,13779
202,236416
203,108805
204,67506
205,111543
206,103058
207,248766
208,301180
209,78082
210,324354
211,339343
212,287395
213,66985
214,331834
215,38925
216,243706
217,127516
218,131605
219,140867
220,325526
221,45814
222,315257
223,218014
224,48830
225,335229
226,332063
227,285606
228,174162
229,251730
230,170312
231,339349
232,310642
233,82063
234,156231
235,217531
236,78793
237,262537
238,53092
239,95797
240,336219
241,69367
242,209348
243,306959
244,118130
245,242773
246,116458
247,98325
248,127191
249,220589
250,241178
251,225684
252,62948
253,227768
254,263713
255,221386
256,52811
257,187064
258,329935
259,291086
260,292697
261,304562
262,282299
263,35815
264,198282
265,189281
266,78189
267,288898
268,173290
269,278287
270,8884
271,79840
272,106795
273,135685
274,157827
275,234295
276,36858
277,78118
278,53525
279,93191
280,108393
281,229337
282,54954
283,245418
284,261954
285,18704
286,261739
287,62177
288,299982
289,77829
290,218583
291,338727
292,276592
293,225152
294,249179
295,283438
296,13714
297,330230
298,48489
299,237579
300,201873
301,149448
302,237042
303,2634
304,21815
305,315283
306,43311
307,187320
308,14427
309,11019
310,90786
311,148296
312,238960
313,333657
314,142015
315,34011
316,84435
317,274156
318,120411
319,297062
320,284378
321,63127
322,32278
323,339425
324,167000
325,93571
326,79826
327,30502
328,162351
329,287377
330,261941
331,259370
332,255675
333,236347
334,84049
335,150640
336,258224
337,69155
338,261431
339,141185
340,263897
341,23667
342,220795
343,262029
344,273447
345,290764
346,272292
347,227848
348,254028
349,127925
350,83941
351,94435
352,3705
353,210027
354,225473
355,80855
356,320660
357,107327
358,145107
359,176816
360,39756
361,182006
362,327792
363,209472
364,54480
365,148476
366,341032
367,7549
368,340141
369,337185
370,295555
371,342444
372,243070
373,293750
374,284736
375,182650
376,202262
377,171559
378,329861
379,238493
380,126183
381,102611
382,86503
383,275195
384,61052
385,179521
386,72929
387,299517
388,335037
389,241496
390,75799
391,335911
392,263914
393,187455
394,243707
395,87324
396,115179
397,165699
398,220435
399,179612
400,149404
401,86815
402,10178
403,67778
404,338007
405,168036
406,211066
407,217800
408,117686
409,107923
410,256699
411,9265
412,217700
413,11539
414,159921
415,60148
416,343031
417,145203
418,183632
419,177431
420,81456
421,212993
422,325827
423,262472
424,46864
425,281309
426,341106
427,241206
428,6098
429,160946
430,92056
431,217404
432,163440
433,153707
434,214657
435,221342
436,40507
437,280244
438,15732
439,12590
440,255201
441,276872
442,280974
443,101590
444,73136
445,122015
446,37990
447,170047
448,334934
449,95206
450,115152
451,212330
452,86125
453,309103
454,177397
455,257589
456,253507
457,125029
458,151045
459,49200
460,12014
461,204045
462,317507
463,168946
464,27098
465,98832
466,288429
467,33538
468,31500
469,307839
470,214834
471,331323
472,174372
473,341580
474,205726
475,175561
476,270886
477,40845
478,3822
479,298177
480,125208
481,214289
482,105987
483,142507
484,67401
485,230591
486,212511
487,277293
488,9815
489,113377
490,303617
491,304110
492,312776
493,30083
494,110779
495,255758
496,304943
497,299709
498,222714
499,22556
500,40471
501,246188
502,66807
503,132083
504,178438
505,231765
506,199509
507,263335
508,242507
509,248319
510,2902
511,263740
512,106936
513,322658
514,103986
515,126564
516,33351
517,336061
518,161757
519,59799
520,251458
521,341588
522,111502
523,31224
524,2249
525,286394
526,106628
527,16510
528,157371
529,101719
530,329407
531,313179
532,320651
533,312088
534,141068
535,15972
536,86989
537,217766
538,228391
539,214622
540,275224
541,64567
542,141516
543,217054
544,28899
545,132599
546,57467
547,238268
548,245790
549,237112
550,156021
551,159776
552,246823
553,146928
554,303906
555,264214
556,254631
557,222730
558,347891
559,97209
560,314202
561,324420
562,105170
563,211560
564,275550
565,227065
566,218244
567,252262
568,40443
569,129357
570,35098
571,37893
572,215459
573,183143
574,11588
575,245777
576,33470
577,13301
578,102887
579,302776
580,282702
581,286926
582,2796
583,139186
584,329474
585,22984
586,285610
587,20877
588,70222
589,172668
590,264758
591,332122
592,258264
593,9060
594,41860
595,158673
596,223939
597,95848
598,177880
599,106925
600,111529
601,300877
602,85843
603,203864
604,48130
605,95640
606,173890
607,341718
608,340082
609,214056
610,77142
611,158689
612,108286
613,296394
614,126549
615,304403
616,324176
617,290875
618,35103
619,167709
620,255666
621,122240
622,275551
623,180132
624,24039
625,228000
626,111832
627,329645
628,306891
629,262617
630,169617
631,118019
632,233665
633,178110
634,30184
635,293927
636,8763
637,157577
638,309738
639,5437
640,166714
641,199155
642,276888
643,56657
644,73049
645,299274
646,77542
647,166001
648,96624
649,88056
650,136765
651,98158
652,334779
653,120440
654,21001
655,109129
656,15987
657,136282
658,213627
659,126878
660,235296
661,313717
662,272724
663,218957
664,32922
665,179706
666,298631
667,209154
668,285713
669,278055
670,335203
671,294853
672,311695
673,64862
674,243376
675,51012
676,223958
677,150686
678,204979
679,272731
680,89654
681,137417
682,180314
683,99442
684,9768
685,176971
686,167783
687,159208
688,156732
689,283704
690,288254
691,221613
692,150505
693,112037
694,14728
695,180867
696,9906
697,187946
698,180522
699,66663
700,110333
701,174317
702,77924
703,258187
704,107174
705,62364
706,35157
707,199251
708,206868
709,148277
710,254859
711,335414
712,225820
713,301796
714,49545
715,209279
716,90722
717,95046
718,266281
719,322610
720,208988
721,237902
722,40191
723,295152
724,64232
725,17095
726,130298
727,138106
728,248443
729,67012
730,245140
731,77879
732,132467
733,324988
734,46722
735,87822
736,105496
737,186476
738,145732
739,4090
740,234696
741,29898
742,345276
743,278119
744,32424
745,16347
746,83071
747,113294
748,183392
749,63872
750,229975
751,212781
752,180370
753,189756
754,160852
755,111859
756,188463
757,26348
758,112460
759,82236
760,225134
761,139589
762,312374
763,20116
764,223065
765,251171
766,334059
767,60612
768,283529
769,151596
770,178782
771,170064
772,129728
773,167576
774,201971
775,40626
776,119611
777,223846
778,162870
779,84180
780,288370
781,6311
782,248485
783,322611
784,4808
785,130520
786,36048
787,25426
788,280076
789,236549
790,237451
791,161187
792,102530
793,224715
794,235593
795,26827
796,237405
797,40540
798,273372
799,47622
800,276535
801,280418
802,317006
803,265503
804,71426
805,66386
806,346494
807,197598
808,85266
809,254357
810,315208
811,263126
812,264373
813,337271
814,3306
815,81554
816,149566
817,307959
818,100697
819,314281
820,30207
821,67796
822,322098
823,92454
824,203808
825,336533
826,80331
827,197671
828,222391
829,221105
830,248856
831,206979
832,90059
833,248489
834,56973
835,77577
836,334001
837,21619
838,65804
839,376
840,100193
841,115769
842,174393
843,116388
844,130531
845,212756
846,62990
847,232785
848,326871
849,52024
850,338981
851,195552
852,166447
853,178604
854,123194
855,198354
856,171809
857,282967
858,166203
859,131143
860,234739
861,70559
862,255329
863,187605
864,234133
865,259112
866,159829
867,114774
868,128094
869,107339
870,158321
871,281529
872,119903
873,316521
874,160396
875,334567
876,276795
877,81734
878,318928
879,51472
880,210003
881,266537
882,36298
883,267217
884,92083
885,40859
886,189506
887,46531
888,193384
889,24703
890,103614
891,221861
892,235260
893,130286
894,51501
895,266891
896,138761
897,337718
898,341965
899,15606
900,1124
901,331001
902,121147
903,75817
904,313772
905,132985
906,183562
907,49749
908,284359
909,49017
910,297379
911,278167
912,27685
913,229504
914,332319
915,312945
916,309666
917,165619
918,60867
919,40695
920,12777
921,341372
922,205979
923,75572
924,289088
925,257605
926,113272
927,16715
928,181427
929,252971
930,165358
931,160590
932,40021
933,318590
934,300007
935,55852
936,331101
937,323691
938,240878
939,69775
940,103505
941,102704
942,7895
943,159612
944,323855
945,92496
946,270946
947,113801
948,25424
949,231444
950,206917
951,175806
952,199591
953,145105
954,338009
955,205075
956,72992
957,71469
958,176334
959,314910
960,342590
961,115782
962,264696
963,145950
964,147449
965,92539
966,64124
967,172769
968,96928
969,230878
970,98177
971,44790
972,294646
973,110517
974,78748
975,313548
976,248560
977,301173
978,333236
979,257980
980,177871
981,241913
982,239064
983,291066
984,74527
985,98999
986,109700
987,44660
988,225910
989,222956
990,7004
991,86118
992,81813
993,234811
994,320976
995,101544
996,46616
997,305828
998,177314
999,41706
1000,61141
1001,138732
1002,308034
1003,57932
1004,276669
1005,13498
1006,303159
1007,16776
1008,7790
1009,149426
1010,333733
1011,323421
1012,185924
1013,160244
1014,125214
1015,133266
1016,37517
1017,37950
1018,175723
1019,173995
1020,124076
1021,191992
1022,187302
1023,246403
1024,152898
1025,75576
1026,251768
1027,266614
1028,109504
1029,177349
1030,74432
1031,182380
1032,30017
1033,18077
1034,266134
1035,162450
1036,251756
1037,102680
1038,197476
1039,207119
1040,270347
1041,30527
1042,14036
1043,110172
1044,280436
1045,164185
1046,113438
1047,13217
1048,325415
1049,294142
1050,202591
1051,176857
1052,318627
1053,298608
1054,254324
1055,48698
1056,110776
1057,12885
1058,5176
1059,232247
1060,35763
1061,260906
1062,55655
1063,127090
1064,27249
1065,185287
1066,117819
1067,299130
1068,79054
1069,247441
1070,158828
1071,60129
1072,123280
1073,325580
1074,59419
1075,156387
1076,216832
1077,143930
1078,299014
1079,83290
1080,71458
1081,99340
1082,83856
1083,72437
1084,233685
1085,85412
1086,341612
1087,285589
1088,232419
1089,103742
1090,311394
1091,260182
1092,55691
1093,236918
1094,161660
1095,342314
1096,342924
1097,208472
1098,220301
1099,104728
1100,194830
1101,157356
1102,82650
1103,135445
1104,306719
1105,22300
1106,262407
1107,185459
1108,336453
1109,218344
1110,244594
1111,191945
1112,89943
1113,40636
1114,93873
1115,221603
1116,167769
1117,188502
1118,177183
1119,113777
1120,26753
1121,11977
1122,106208
1123,69217
1124,5349
1125,237462
1126,187533
1127,264646
1128,311790
1129,302636
1130,73042
1131,69378
1132,209611
1133,213788
1134,190835
1135,68312
1136,344186
1137,304983
1138,222926
1139,337411
1140,52798
1141,82076
1142,37918
1143,345832
1144,208426
1145,103135
1146,14289
1147,58441
1148,172432
1149,197633
1150,11362
1151,261727
1152,213543
1153,54308
1154,171221
1155,122141
1156,93960
1157,70801
1158,201469
1159,330696
1160,4306
1161,21258
1162,204548
1163,314565
1164,200948
1165,131002
1166,121428
1167,117742
1168,297778
1169,266939
1170,85715
1171,79706
1172,233269
1173,86326
1174,116352
1175,132320
1176,53687
1177,52528
1178,334917
1179,88301
1180,37214
1181,257380
1182,31195
1183,139722
1184,30949
1185,343998
1186,28233
1187,210277
1188,203428
1189,13180
1190,140807
1191,107349
1192,192640
1193,84547
1194,344322
1195,262981
1196,39766
1197,334599
1198,177882
1199,40427
1200,67700
1201,55584
1202,40880
1203,221487
1204,259719
1205,226530
1206,21255
1207,323661
1208,261663
1209,177020
1210,196556
1211,64266
1212,152162
1213,58302
1214,298841
1215,10392
1216,288251
1217,84751
1218,194019
1219,84752
1220,104434
1221,204767
1222,181864
1223,14669
1224,192750
1225,202526
1226,324489
1227,42200
1228,275027
1229,248862
1230,338168
1231,295518
1232,295437
1233,21260
1234,134568
1235,243285
1236,185252
1237,58685
1238,170582
1239,324055
1240,195731
1241,70759
1242,235003
1243,209496
1244,204364
1245,67120
1246,100608
1247,73494
1248,252088
1249,219231
1250,287739
1251,329083
1252,18687
1253,15421
1254,56271
1255,131507
1256,136721
1257,6918
1258,52286
1259,289884
1260,334422
1261,185196
1262,291666
1263,26419
1264,232855
1265,71329
1266,204039
1267,230374
1268,240667
